Rank,Company_Name,Year,Industry,Env_Sector,Financial_Sector,Country,Legal_Origin,GDP_Per_Capita,LN_GDP_Per_Capita,GDP,LN_GDP,Environmental_Performance_Index,Social_Progress_Index,Governance_Index,Sustainable_Competitiveness_Index,Institutions,Security,Security_1_Organized_Crime,Security_2_Homicide_Rate,Secuirt_3_Terrorism_Incidence,Security_4_Reliability_Policy_Services,Social_Capital,Checks_Balances,Check_Balance_1_Budget_Transparency,Check_Balance_2_Judicial_Independence,Check_Balance_3_Efficiency_Legal_Framework,Check_Balance_4_Freedom_Press,Public_Sector_Performance,Public_Sector_Performance_1_Burden_Government_Regulation,Public_Sector_Performance_2_Efficiency_Legal_Framework,Public_Sector_Performance_3_EParticipation,Transparency_Corruption,Property_Rights,Property_Rights_1_Property_Rigths,Property_Rights_2_Intellectual_Property_Protection,Property_Rights_3_Quality_Land_Administration,Corporate_Governance,CG_1_Strength_Auditing_Accounting_Standards,CG_2_Conflict_Interest_Regulation,CG_3_Shareholder_Governance,Future_Orientation_Government,FOG_1_Government_Ensuring_Policy_Stability,FOG_2_Government_Responsiveness_Change,FOG_3_Adaptability_Digital_Business_Models,FOG_4_Government_Long_Term_Vision,FOG_5_Energy_Efficiency_Regulation,FOG_6_Renewable_Energy_Regulation,FOG_7_Environment_Treaties,Number_of_Employees,LN_N_Employees,Revenues,Profits,Assets,LN_Assets,ROA,SR_1,GRI,IR,Environment_SP,Social_SP,Governance_SP,ESG
11,Exxon Mobil,2020,Energy,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,74900,11.2239091695053,264938,14340,362597,12.801047303689,.0395480381801284,1,1,0,33,36,37,36
12,Apple,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,137000,11.8277362048103,260174,55256,338516,12.7323266375734,.163230098429616,1,1,0,52,10,31,32
13,CVS Health,2020,Food & Drug Stores,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,290000,12.5776362019627,256776,6634,222449,12.3124531408319,.0298225660713242,1,1,0,86,68,81,76
14,Berkshire Hathaway,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,391500,12.877740794413,254616,81417,817729,13.6142862648508,.099564770235616,0,0,0,0,5,16,10
15,UnitedHealth Group,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,325000,12.6915804613119,242155,13839,173889,12.0661724435976,.0795852526611804,1,1,0,73,71,77,74
16,McKesson,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,70000,11.1562505210315,231051,900,61247,11.0226701476156,.0146945972863977,1,1,0,40,27,24,27
17,Glencore,2020,Energy,High Risk,Non-Financial,Switzerland,Code Law (Stakeholder-Oriented),87097,11.3747777190786,740026.24,13.5144409240111,81.5,91.78,82.71,60.4,77.5,93.8,84.8,100,100,90.5,62.4,78.8,67.9,87,71,89.5,76,63.2,80.5,84.3,85,85.7,90.4,88.3,78.3,61.6,84.9,33,67,76.8,89.7,67.1,60.5,70.1,68.8,86.7,89.7,88246,11.3878836479893,215111,-404,124076,11.7286495600645,-.00325606886102066,1,0,0,47,46,35,43
18,China State Construction Engineering,2020,Engineering & Construction,High Risk,Non-Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,335038,12.72199923721,205839,3333,294070,12.5915731132187,.0113340361138504,1,1,0,9,22,7,12
19,Samsung Electronics,2020,Technology,Low Risk,Non-Financial,South Korea,Code Law (Stakeholder-Oriented),31631.5,10.3619087385075,1623895.08,14.3003381917054,66.5,88.42,76.08,53.9,65.8,85.2,69,99.7,100,72.4,49.2,56.1,60,48.8,40.7,75.1,63.6,37.6,53.2,100,57,72.8,66.9,59.9,91.7,72.5,71.6,73,73,69.5,47.1,54.6,55.2,56.9,87.2,83.1,86.2,287439,12.5687659427944,197705,18453.3,304908,12.627765370743,.0605208784289031,1,1,0,60,42,22,38
20,Daimler,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Germany, ,46208.4,10.7409168787247,3434435.99,15.0493632751062,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,298655,12.607044340026,193346,2660.5,339456,12.7350996152254,.00783754006410256,1,1,0, , , , 
21,Ping An Insurance,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,372194,12.827170502695,184280,21626.7,1180489,13.9814393173787,.0183201198825233,1,1,0,72,68,63,66
22,AT&T,2020,Telecommunications,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,247800,12.4203772481772,181193,13903,551669,13.2207035077235,.0252017060955029,1,1,0,81,76,69,74
23,AmerisourceBergen,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,21500,9.97580821411575,179589,855.4,39172,10.5757174848407,.0218370264474625,1,1,0,61,53,55,55
24,Industrial & Commercial Bank of China,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,445106,13.0060677350299,177069,45194.5,4322528,15.2793509742514,.0104555713693468,1,1,1,35,33,19,25
25,Total,2020,Energy,High Risk,Non-Financial,France, ,39030.4,10.5720961086489,2410285.65,14.695255825414,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,107776,11.5878102781619,176249,11267,273294,12.5183034177784,.0412266643248663,1,1,1,86,72,58,70
26,Hon Hai Precision Industry,2020,Technology,Low Risk,Non-Financial,Taiwan,Common-Law (Shareholder-Oriented), , , , ,57.2,0,83.17, ,68.6,85.8,69.2,96,99.9,78.3,57.4,62.6,70.8,59.4,45.2,75,62.6,49,46.8,92,63,81,76.3,71.7,95,77.2,81.6,70,80,59.4,51.5,47.8,48.9,44.2,72.3,69, ,757404,13.5376520756611,172869,3730.9,110790,11.6153917965147,.0336754219694918,1,1,0,61,45,41,48
27,Trafigura Group,2020,Wholesalers,Low Risk,Non-Financial,Singapore,Common-Law (Shareholder-Oriented),59797.8,10.9987241499643,330099.8,12.7071503119641,58.1,84.73,85.24,49.3,80.4,96.1,92.6,100,100,91.9,61.8,65.9,78,77.4,59.4,48.6,85.9,74.4,86.6,96.6,85,91.3,89.4,89.3,95,82.5,87.6,93,67,74.5,89.1,85.2,76.5,91.2,74.6,53.9,62.1,5106,8.53817159780143,171474,871.7,54151,10.8995317194793,.0160975789920777,1,1,1, , , , 
28,EXOR Group,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Italy,Code Law (Stakeholder-Oriented),31714.2,10.3645198090927,1744731.95,14.3721114915042,71,86.56,66.58,51.7,58.6,77,45.1,99.3,99.3,64.1,55.1,55.6,73,50.4,24.1,75,45.3,17.6,22.8,95.5,52,68.3,56.3,60.2,88.3,58.1,57.2,57,60,57.1,31,28,36.1,20.6,89.2,84.1,82.8,268979,12.5023885886221,162754,3417.1,193739,12.1742671714103,.0176376465244478,1,1,0,18,36,36,34
29,Alphabet,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,118899,11.6860296722146,161857,34343,275909,12.527826380188,.124472199167117,1,1,0,74,50,35,47
30,China Construction Bank,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,370169,12.8217149370956,158884,38609.7,3651645,15.1106883089622,.0105732348023973,1,1,0,46,41,24,32
31,Ford Motor,2020,Motor Vehicles & Parts,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,190000,12.1547793511426,155900,47,258537,12.4627940961503,.000181792161276722,1,1,0,34,31,37,34
32,Cigna,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,73700,11.2077580781774,153566,5104,155774,11.9561615178765,.0327654165650237,1,1,0,81,70,84,78
33,Costco Wholesale,2020,Retailing,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,201500,12.2135446603689,152703,3659,45400,10.7232673840294,.0805947136563877,1,1,0,23,11,25,20
34,AXA,2020,Financials,Low Risk,Financial,France, ,39030.4,10.5720961086489,2410285.65,14.695255825414,80,88.23,73.52,56.8,70,81.1,63.5,97.3,92.5,71,56.1,68.2,79,64.7,56.1,77.8,66.7,42.8,60.8,96.6,72,76,70.3,77.6,80,69.3,73.9,57,77,71,62.1,56,50.8,58.8,72.4,86.3,96.6,99843,11.5113542312287,148984,4317,876458,13.6836440643402,.00492550698379158,1,1,0,96,86,85,87
35,Agricultural Bank of China,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,467631,13.055434802362,147313,30701.2,3571542,15.0885079932728,.00859606298903947,1,1,0,30,37,21,28
36,Chevron,2020,Energy,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,48200,10.7831143000387,146516,2924,237428,12.3776196986005,.0123153124315582,1,1,0,33,44,38,39
37,Cardinal Health,2020,Health Care,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,49500,10.8097279485568,145534,1363,40963,10.6204244992188,.0332739301320704,1,1,0,50,44,43,44
38,JPMorgan Chase,2020,Financials,Low Risk,Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,256981,12.4567574311833,142422,36431,2687379,14.8040769271487,.0135563312804037,1,1,0,55,36,38,40
39,Honda Motor,2020,Motor Vehicles & Parts,High Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559405,4380756.53,15.2927319911819,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,218674,12.2953373152811,137332,4191.8,189335,12.1512732118133,.0221395938416035,0,0,0,78,74,73,75
40,General Motors,2020,Motor Vehicles & Parts,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,164000,12.0076217068063,137237,6732,228037,12.3372631754722,.0295215250156773,1,1,1,82,74,78,78
41,Walgreens Boots Alliance,2020,Food & Drug Stores,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,287000,12.5672374947418,136866,3982,67598,11.1213336757946,.0589070682564573,1,1,0,48,52,58,53
42,Mitsubishi,2020,Wholesalers,Low Risk,Non-Financial,Japan,Code Law (Stakeholder-Oriented),40193.3,10.60145559405,4380756.53,15.2927319911819,75.1,90.44,87.43,55.3,71.7,92.3,82.1,100,99.6,87.2,46.9,68.7,60,86.5,57.6,70.6,72.5,50.1,69,98.3,73,84.2,86.9,83,82.7,66.7,80.2,70,50,69.2,69.6,54.9,54,60.8,68.5,77.4,89.7,86098,11.3632414613423,135940,4924,167018,12.0258568700217,.0294818522554455,1,1,0,65,41,20,36
43,Bank of China,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,309384,12.6423385027911,135091,27126.9,3268838,14.9999451280391,.00829863700801325,1,1,0,39,37,25,31
44,Verizon Communications,2020,Telecommunications,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,135000,11.8130300574206,131868,19265,291727,12.5835737124225,.0660377681873807,0,0,1,61,24,36,37
45,China Life Insurance,2020,Financials,Low Risk,Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,180401,12.1029374298325,131244,4660.3,648393,13.3822522729803,.0071874619250979,1,1,0,15,22,25,22
46,Allianz,2020,Financials,Low Risk,Financial,Germany, ,46208.4,10.7409168787247,3434435.99,15.0493632751062,77.2,90.32,80.22,56.6,72.4,80.9,60.1,98.3,96.8,68.3,61.6,71.2,69,66.9,63.6,85.4,71,56.9,63.9,92.1,80,72,71.8,70.9,73.3,63.3,73,50,67,79,71,60,67.3,59,84.5,96.6,100,147268,11.9000093351296,130359,8857.8,1134954,13.942102679442,.00780454538245603,0,0,0,97,95,90,93
47,Microsoft,2020,Technology,Low Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,144000,11.8775685785581,125843,39240,286556,12.5656892585148,.136936584821117,1,1,0,72,55,57,60
48,Marathon Petroleum,2020,Energy,High Risk,Non-Financial,USA,Common-Law (Shareholder-Oriented),63593.4,11.0602649703585,19294483,16.7753297580885,69.3,86.29,74.6,52,71.2,76.7,61.9,83.7,83.3,78.1,65.1,72,77,70.4,66.2,74.3,75.8,57.7,71.2,98.3,71,71,76,78.3,58.7,69.6,79.8,83,46,68.2,71.9,68.9,78,66.2,82,58.4,55.2,60910,11.0171526438305,124813,2637,98556,11.4983801935282,.0267563618653354,1,1,1,65,53,69,62
49,Huawei Investment & Holding,2020,Technology,Low Risk,Non-Financial,China, ,10434.8,9.25290165306026,14631844.42,16.4987108361368,37.3,65.44,47.56,51.4,56.8,79.2,60.7,99.7,96.4,59.8,43.3,36,13,58.2,51.5,21.1,66.2,56.3,51.9,90.5,39,65.6,59.6,58.3,79,59.7,59.1,53,67,65.3,58.2,49.8,59.5,57.9,73.5,66.4,82.8,194000,12.1756134380455,124316,9062.1,123270,11.7221323505456,.0735142370406425,0,0,1, , , , 
